what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456366046881
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1456366049144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366059433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366060059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366062071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366141159
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456366143369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366144888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366194041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366195713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366203768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456366209438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456366217763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456366220127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456366232148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366299229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366321026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456366323519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366325433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366325744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456366343727
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456366343865
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456366344000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456366344122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456366344361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456366344586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456366345120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366358357
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366363426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456366366388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456366374236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456366412890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366414489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366419341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366431275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366431923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366434012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366505582
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456366505755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366540650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366542104
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456366546450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366559062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366559700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366562659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366605152
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456366605326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366637774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366649374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366681188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366721754
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456366723006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456366730821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366732269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366736577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366746583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456366747173
