what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1455888102993
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1455888102996
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1455888102999
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1455888103003
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1455888103003
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1455888103005
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1455888103008
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1455888103012
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1455888103014
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1455888103020
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1455888103022
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1455888103024
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1455888103029
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1455888103032
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1455888103033
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1455888103039
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1455888103042
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1455888103046
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1455888103052
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1455888103056
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1455888103056
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1455888103058
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1455888103061
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1455888103064
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1455888103066
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1455888103068
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1455888103070
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1455888103072
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1455888103074
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1455888103077
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1455888103079
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1455888103081
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1455888103083
os,sysinfo,,,"win32",1455888103092
arch,sysinfo,,,"x86_64",1455888103092
ws,sysinfo,,,"win32",1455888103092
locale,sysinfo,,,"en_US",1455888103092
processors,sysinfo,,,"4",1455888103092
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1455888103092
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1455888103092
java.specification.name,sysinfo,,,"Java Platform API Specification",1455888103092
java.specification.vendor,sysinfo,,,"Oracle Corporation",1455888103092
java.specification.version,sysinfo,,,"1.7",1455888103092
java.vendor,sysinfo,,,"Oracle Corporation",1455888103092
java.version,sysinfo,,,"1.7.0_79",1455888103092
java.vm.info,sysinfo,,,"mixed mode",1455888103092
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1455888103092
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1455888103092
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1455888103092
java.vm.specification.version,sysinfo,,,"1.7",1455888103092
java.vm.vendor,sysinfo,,,"Oracle Corporation",1455888103092
java.vm.version,sysinfo,,,"24.79-b02",1455888103092
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1455888103594
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1455888106221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455888110294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455888121065
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1455888122122
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1455888122213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1455888130347
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1455888131221
started,bundle,org.testng.eclipse,6.9.10.201512240000,"org.testng.eclipse",1455888135341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455888136805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455888136893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455888141320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455888141508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455888147472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455888158033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455888167445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455888167545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455888173108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455888173212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455888175862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455888175909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455888182199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455888182271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1455888188235
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1455888200984
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1455888201244
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1455888201381
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1455888201408
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1455888201481
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1455888201574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455888208718
