what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537622061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537672930
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456537672973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537678763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537680229
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456537687330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537695214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537698994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537711087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537712709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537725689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537726293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537728297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537767596
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456537767652
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456537779824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537783568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537787172
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456537795331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537801501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537803722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537814703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537826780
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456537828652
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1456537831354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537842074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537842723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537844795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537923094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537925462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537933908
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456537938599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456537947658
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456537960206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537961898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537963190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537964294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537968380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537972552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456537980532
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456537981176
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456537981272
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456537995337
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456537995425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538048882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538177378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538185554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538230531
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456538233154
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456538237375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538253982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538254126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538258846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538710171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456538716492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456538726798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456538784612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456538791681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456538795319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456538820523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538822700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538826477
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456538830861
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456538832514
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1456538835469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456538837864
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456538841099
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456538841254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538855052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538855671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538857717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538871695
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456538871733
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456538881294
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456538883209
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456538887329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538887853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538889279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538891842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538893116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538894939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538898843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456538899029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538909106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538909741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538911673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538946363
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456538946400
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456538950398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456538959662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538972997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538977039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538980497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538980572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538982680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538984899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538987037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456538988026
