what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455758076698
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1455758076832
started,bundle,org.testng.eclipse,6.9.10.201512240000,"org.testng.eclipse",1455758076938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455758089660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758104047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758115812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1455758118171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758136351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758137416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758145697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758148456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455758154833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758166619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758411192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758413167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758414342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758414908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758416419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1455758434322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455758450114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455758455580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455758472837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1455758483316
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1455758486157
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1455758486655
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1455758487031
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1455758487104
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1455758487267
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1455758487507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758498693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758498723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758501492
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455758507601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758507737
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455758507791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758516959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758549085
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1455758553098
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455758558939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455758603765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1455758652706
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1455758653042
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1455758653091
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1455758653312
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1455758653347
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1455758653398
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1455758653432
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1455758653436
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1455758653549
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1455758653556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758742313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758742339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758745279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758751260
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455758751304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758795581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758820042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758842982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758844900
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1455758894044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1455758943561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1455758948018
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1455758948162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1455758956906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758959338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758964337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758974218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758974243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758977472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455758982703
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455758982742
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1455759006173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455759012755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455759063101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455759082741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1455759085945
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1455759086374
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1455759090537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455759099850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455759118994
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1455759138567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455759148857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455759148882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455759151698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455759156739
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455759156774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455759261190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455759290320
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1455759293355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1455759310617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1455759327402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455759337670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455759337683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455759340578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455759345688
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455759345741
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1455759431055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455759469934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455759537557
